Countries,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,Smoking,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Afghanistan,631.7738503,862.301904,11225.15396,9605.295515,805.9455107,4977.835021,9241.250845,3457.083571,14884.9584,9074.388004
Albania,1485.350647,141.5175619,784.6990017,142.3951046,57.75968084,632.5092922,4161.156448,1668.336331,2206.716542,1130.544001
Algeria,940.8081093,2035.223813,7651.92125,4663.229717,955.2292382,7995.479816,18609.93068,5828.759675,16103.07898,11483.30653
Andorra,26.79354005,4.996633271,10.2240463,8.49016729,1.915685371,13.82338163,79.71227957,16.95782246,23.27595196,13.33294499
Angola,9079.898398,836.5036453,2704.049407,2283.144002,13751.6071,1140.600094,8810.716924,1894.786922,3972.961561,2617.704511
Antigua and Barbuda,16.15932767,4.381435541,8.493671661,15.42507342,11.12911075,15.09500981,38.04276392,12.97269565,32.18534275,20.72595333
Argentina,7181.262549,3771.835755,7582.714881,9760.976076,4541.983696,5875.416649,51911.51827,10793.48189,17269.54239,13119.66602
Armenia,289.5887797,236.7314614,1364.241331,24.9658311,168.5686339,1109.601958,4871.943861,1961.582677,2855.040263,2159.566343
Australia,7226.823767,2870.067681,4797.861063,4099.651101,552.1254893,5019.110698,21559.35178,2649.750866,6718.511647,4546.009246
Austria,4745.345794,649.901935,1741.102656,2327.424583,280.2377218,2534.818448,11502.30524,3139.779789,3733.262504,3014.395195
Azerbaijan,3979.679227,697.3706747,4915.974059,860.9892393,283.5765146,2722.001912,12216.65581,6200.943293,9117.023753,5461.284666
Bahamas,151.3220839,20.41170793,10.6894431,57.16947779,114.8547175,55.31936761,158.5935302,52.72114429,143.9464332,83.82374191
Bahrain,55.61264469,55.95727629,87.02024597,21.69465014,12.88039458,110.6722578,329.056011,98.49738701,330.5727327,139.0637394
Bangladesh,9910.434482,4804.26747,69563.25972,47723.77496,4362.279375,19020.90264,90795.05525,44010.6852,40390.53996,35582.39534
Barbados,111.8792413,14.8038094,74.34251328,70.58959179,49.66518169,75.72512889,167.9684343,57.34094991,150.3408758,90.79330068
Belarus,14624.50635,1297.011014,8180.10495,3951.245512,662.6692455,6083.660368,21496.83134,8483.545559,14580.6757,10748.02168
Belgium,5763.979698,755.4198336,3276.171452,1834.08139,367.7431232,2715.252736,20077.50194,2389.578345,4151.17358,2755.940184
Belize,174.4261441,18.54714864,46.81221983,46.33712974,83.36876211,33.98123411,127.3457057,23.56463466,88.79640812,59.15982123
Benin,1320.883877,263.6448482,1634.18027,1144.17493,1923.610226,425.8217559,1983.631895,649.864774,1515.603308,858.8032257
Bermuda,39.81460691,3.946345253,1.97305215,12.1630811,7.978143839,17.63019564,62.279987,15.124907,25.97647432,20.57440786
Bhutan,135.5869935,20.80403376,179.9443736,138.325793,88.55218457,66.53020549,296.2936897,186.0636042,187.7198954,158.7167755
Bolivia,1854.624497,519.9390434,1967.396766,2034.013157,1754.430219,1100.784608,4024.79707,2176.315737,2914.436879,1487.779141
Bosnia and Herzegovina,3193.906099,235.0779395,2035.115893,561.3936048,160.3779501,1475.056843,8482.64675,2256.169906,2725.932398,2037.791292
Botswana,843.605408,167.4549382,412.5753905,305.927077,4101.417741,172.6025143,901.3208983,222.7543098,457.2479901,319.8235585
Brazil,83215.48297,14738.87107,31505.11479,43919.43645,23774.42028,32410.23541,167657.2694,51433.60169,60108.88832,47677.4725
Brunei,13.39729193,16.9843625,74.53407338,62.45462795,21.85400579,41.93684556,286.4040863,138.7047432,106.3741042,75.78116764
Bulgaria,5497.055585,644.8103812,8293.487146,1682.088016,504.1627426,4597.569287,20300.55028,9422.955584,10506.81881,6774.009255
Burkina Faso,7161.097903,313.1995072,3826.351155,2809.796777,3278.695927,1012.999885,3335.304228,1212.591035,3645.780374,2424.304667
Burundi,9174.383439,163.1088312,1803.351708,1332.451487,2814.800868,334.1414639,2735.950248,724.2234003,1928.308552,1102.3337
Cambodia,10419.93656,491.5006234,5388.132237,3230.701334,1796.980446,1018.043269,12676.72666,4570.014352,2766.733648,1904.783403
Cameroon,11701.85881,1219.692284,2653.246472,1852.523083,21642.72974,1185.2234,5243.707323,1579.653797,3846.733043,2275.588607
Canada,5230.237233,4296.742797,6094.092434,6264.724713,1184.534584,6689.934576,49362.37534,12191.0659,11734.73973,9711.43702
Cape Verde,183.8071547,35.27930004,96.11083801,84.31566948,141.5938007,50.16488567,125.6559008,66.35464549,118.6239904,96.85500751
Caribbean,15364.77369,2678.132302,8441.834436,11782.3041,9555.773727,10375.41486,38442.56216,6177.783855,20736.55922,15506.75454
Central African Republic,3889.455231,217.9289503,1382.634709,1160.856024,5257.821007,346.7241018,2509.356867,410.38341,1487.948226,830.6489973
Chad,3287.944961,307.3734966,2658.723376,1963.884276,4501.889697,760.9720369,1657.958992,806.5398731,2850.08257,1279.012718
Chile,5083.990315,1745.506184,3527.817641,2001.208591,1469.165779,1832.279948,10405.15837,5975.950099,4965.585022,3073.953398
China,670297.3078,129306.3197,718507.1133,277782.2265,73366.89943,249699.3445,2197652.614,1656146.098,753131.7261,394876.2583
Colombia,11337.69169,1924.759991,4282.860071,8335.632573,4651.803826,4931.983888,19433.68056,10406.62967,10324.30719,9683.308482
Comoros,41.22049159,13.40398576,178.6068091,142.9992483,67.05309374,38.05926352,180.4491735,92.09180324,186.9640098,132.2648187
Congo,1884.3963,280.1116715,986.9604423,867.8630335,4984.059192,403.7799128,1556.248047,569.7387953,1180.767862,875.2389488
Costa Rica,1249.573054,352.950579,426.9681926,781.950685,336.8022264,417.3966185,2203.799503,898.5148643,1099.381288,926.4970331
Cote d'Ivoire,5670.594879,1108.859365,3487.163649,3588.5091,16692.64299,1372.632499,6312.139392,3335.902091,5242.502858,2529.994429
Croatia,3628.318709,247.1280868,2034.265256,2082.295624,188.2222011,1774.752238,9340.339474,3363.559108,3540.358486,2536.924982
Cuba,4148.509952,726.6145023,1763.133027,2157.926542,1001.917778,3741.051918,18457.31728,2031.29747,5618.464359,4962.127536
Cyprus,205.8962335,39.51281276,271.4704144,223.6022921,24.01241751,226.628464,1492.219646,255.0342712,486.1766338,310.2571211
Czechia,7853.982281,771.3201548,5295.68507,5083.033587,525.5987341,4197.351157,20821.91529,7174.262274,6412.431176,6620.666726
Democratic Republic of Congo,21974.34386,2105.005265,15053.63229,12241.84917,18252.22342,4463.742148,16609.2889,1810.335767,14310.64802,10485.55035
Denmark,3388.970459,546.9372566,1023.843868,937.264752,205.4621379,1218.349409,11700.02393,1144.141762,2119.594712,1345.997277
Djibouti,92.63333681,25.94173439,238.3220299,141.1679974,752.599024,50.15149842,343.1192593,95.83034728,256.8246561,156.634092
Dominica,35.90917001,4.255014835,15.47576107,17.11675976,10.74509082,15.39372582,38.29548566,15.29012945,32.2326524,21.56677032
Dominican Republic,2415.801205,573.9608538,431.6103704,3125.675944,2558.468386,2137.484588,7726.0708,1382.565475,4256.61386,3614.628075
Ecuador,6863.954049,840.1594766,809.0937709,2344.275337,1946.303501,1378.56917,4721.520812,3233.83948,3583.980325,2656.606377
Egypt,7288.487477,2162.374596,20283.9093,1918.851763,508.581135,23024.91232,69344.15356,17086.45112,48864.24778,40721.90781
El Salvador,3024.851068,532.3189003,1162.34147,1121.34073,1047.103874,696.7457473,2218.898836,1147.310195,1771.263,1685.74992
England,13006.33516,4123.668474,14803.99027,10844.07573,1644.497908,12120.12768,73217.73969,11669.80965,19643.46847,13666.09129
Equatorial Guinea,413.769402,53.09753876,37.20682346,53.77331825,1501.383835,41.62140688,163.1812665,88.58452911,110.9028121,56.59801274
Eritrea,1704.772659,153.3140393,1087.396006,778.3547655,1766.1537,175.7595602,1358.120013,437.8821719,1007.600417,617.9417039
Estonia,1523.903306,214.8997983,623.9745683,516.4409445,82.53658816,483.0448914,2160.762046,1111.241832,951.9833128,847.4839168
Eswatini,544.2938811,111.0449192,237.1998999,211.1856697,2256.316015,102.5221833,498.9976676,121.3293685,253.9010361,191.6784688
Ethiopia,17320.28654,1461.239724,12026.44856,8224.952021,16718.42621,4980.126238,9462.55941,5156.880541,11723.33088,7053.482091
Fiji,92.46223418,30.14953675,539.3889468,363.7972832,88.90343386,249.1264887,885.5265209,433.4202228,804.0173711,590.6932251
Finland,2331.733999,659.028087,1874.74857,1929.866019,117.8465258,1881.760837,5638.935713,1895.657595,2900.496616,2576.573685
France,38820.82835,5367.317449,13606.33325,10492.90235,2373.429389,12724.78148,79002.38066,14078.12618,20953.00103,13357.80869
Gabon,776.5947179,76.08443702,112.394104,265.0590046,667.3807288,130.4554975,645.2545284,245.5271754,339.3255382,253.6518612
Gambia,257.2689612,104.9915646,540.5858759,385.2473413,851.2117374,147.9693921,668.5313252,161.629751,481.1736429,346.5524845
Georgia,1915.20919,462.8783588,3928.575411,2874.041487,259.8440765,1862.776738,6798.576039,4489.689497,5482.297249,3002.023004
Germany,46903.60379,6660.275307,32787.56367,28097.11584,3050.634662,28606.75619,141530.7646,33036.69646,43426.7268,34236.87282
